example_idx,stage,node_id,parent_node_id,branch_idx,sample_idx,reward
23125,3,d3_n8,d2_n3,0,8,1
23125,3,d3_n8,d2_n3,0,9,1
23125,3,d3_n8,d2_n3,0,10,1
23125,3,d3_n8,d2_n3,0,11,1
23125,3,d3_n8,d2_n3,0,12,1
23125,3,d3_n8,d2_n3,0,13,1
23125,3,d3_n8,d2_n3,0,14,1
23125,3,d3_n8,d2_n3,0,15,1
23125,3,d3_n8,d2_n3,0,16,1
23125,3,d3_n8,d2_n3,0,17,1
23125,3,d3_n8,d2_n3,0,18,1
23125,3,d3_n8,d2_n3,0,19,1
23125,3,d3_n8,d2_n3,0,20,1
23125,3,d3_n8,d2_n3,0,21,1
23125,3,d3_n8,d2_n3,0,22,1
23125,3,d3_n8,d2_n3,0,23,1
23125,3,d3_n8,d2_n3,0,24,1
23125,3,d3_n8,d2_n3,0,25,1
23125,3,d3_n8,d2_n3,0,26,1
23125,3,d3_n8,d2_n3,0,27,1
23125,3,d3_n8,d2_n3,0,28,1
23125,3,d3_n8,d2_n3,0,29,1
23125,3,d3_n8,d2_n3,0,30,1
23125,3,d3_n8,d2_n3,0,31,1
23125,3,d3_n9,d2_n3,1,0,1
23125,3,d3_n9,d2_n3,1,1,1
23125,3,d3_n9,d2_n3,1,2,1
23125,3,d3_n9,d2_n3,1,3,1
23125,3,d3_n9,d2_n3,1,4,1
23125,3,d3_n9,d2_n3,1,5,1
23125,3,d3_n9,d2_n3,1,6,1
23125,3,d3_n9,d2_n3,1,7,1
23125,3,d3_n9,d2_n3,1,8,1
23125,3,d3_n9,d2_n3,1,9,1
23125,3,d3_n9,d2_n3,1,10,1
23125,3,d3_n9,d2_n3,1,11,1
23125,3,d3_n9,d2_n3,1,12,1
23125,3,d3_n9,d2_n3,1,13,1
23125,3,d3_n9,d2_n3,1,14,1
23125,3,d3_n9,d2_n3,1,15,1
23125,3,d3_n9,d2_n3,1,16,1
23125,3,d3_n9,d2_n3,1,17,1
23125,3,d3_n9,d2_n3,1,18,1
23125,3,d3_n9,d2_n3,1,19,1
23125,3,d3_n9,d2_n3,1,20,1
23125,3,d3_n9,d2_n3,1,21,1
23125,3,d3_n9,d2_n3,1,22,1
23125,3,d3_n9,d2_n3,1,23,1
23125,3,d3_n9,d2_n3,1,24,1
23125,3,d3_n9,d2_n3,1,25,1
23125,3,d3_n9,d2_n3,1,26,1
23125,3,d3_n9,d2_n3,1,27,1
23125,3,d3_n9,d2_n3,1,28,1
23125,3,d3_n9,d2_n3,1,29,1
23125,3,d3_n9,d2_n3,1,30,1
23125,3,d3_n9,d2_n3,1,31,1
23125,3,d3_n10,d2_n4,0,0,1
23125,3,d3_n10,d2_n4,0,1,1
23125,3,d3_n10,d2_n4,0,2,1
23125,3,d3_n10,d2_n4,0,3,1
23125,3,d3_n10,d2_n4,0,4,1
23125,3,d3_n10,d2_n4,0,5,1
23125,3,d3_n10,d2_n4,0,6,1
23125,3,d3_n10,d2_n4,0,7,1
23125,3,d3_n10,d2_n4,0,8,1
23125,3,d3_n10,d2_n4,0,9,1
23125,3,d3_n10,d2_n4,0,10,1
23125,3,d3_n10,d2_n4,0,11,1
23125,3,d3_n10,d2_n4,0,12,1
23125,3,d3_n10,d2_n4,0,13,1
23125,3,d3_n10,d2_n4,0,14,1
23125,3,d3_n10,d2_n4,0,15,1
23125,3,d3_n10,d2_n4,0,16,1
23125,3,d3_n10,d2_n4,0,17,1
23125,3,d3_n10,d2_n4,0,18,1
23125,3,d3_n10,d2_n4,0,19,1
23125,3,d3_n10,d2_n4,0,20,1
23125,3,d3_n10,d2_n4,0,21,1
23125,3,d3_n10,d2_n4,0,22,1
23125,3,d3_n10,d2_n4,0,23,1
23125,3,d3_n10,d2_n4,0,24,1
23125,3,d3_n10,d2_n4,0,25,1
23125,3,d3_n10,d2_n4,0,26,1
23125,3,d3_n10,d2_n4,0,27,1
23125,3,d3_n10,d2_n4,0,28,1
23125,3,d3_n10,d2_n4,0,29,1
23125,3,d3_n10,d2_n4,0,30,1
23125,3,d3_n10,d2_n4,0,31,1
23125,3,d3_n11,d2_n4,1,0,1
23125,3,d3_n11,d2_n4,1,1,1
23125,3,d3_n11,d2_n4,1,2,1
23125,3,d3_n11,d2_n4,1,3,1
23125,3,d3_n11,d2_n4,1,4,1
23125,3,d3_n11,d2_n4,1,5,1
23125,3,d3_n11,d2_n4,1,6,1
23125,3,d3_n11,d2_n4,1,7,1
23125,3,d3_n11,d2_n4,1,8,1
23125,3,d3_n11,d2_n4,1,9,1
23125,3,d3_n11,d2_n4,1,10,1
23125,3,d3_n11,d2_n4,1,11,1
23125,3,d3_n11,d2_n4,1,12,1
23125,3,d3_n11,d2_n4,1,13,1
